Speaker,Speaking Time (seconds),Participation (%)
SPEAKER_05,899.1843750000105,26.345585254185515
SPEAKER_06,840.9487499999989,24.639314920841965
SPEAKER_08,555.5587499999945,16.2775519890828
SPEAKER_16,504.46125000000484,14.780424614593604
SPEAKER_15,119.94750000000033,3.5143927932204
SPEAKER_10,101.92500000000032,2.9863439041996656
SPEAKER_11,71.41500000000015,2.092418444134598
SPEAKER_03,67.04437499999887,1.9643616442690452
SPEAKER_12,62.015625000000625,1.817022160253948
SPEAKER_17,43.57125000000019,1.2766125762654876
SPEAKER_14,29.04187500000006,0.8509102415774205
SPEAKER_04,28.316250000000082,0.8296498462329531
SPEAKER_13,27.421875000005528,0.8034451729015596
SPEAKER_09,20.891250000000056,0.6121016148011894
SPEAKER_00,14.765624999999943,0.4326243238699816
SPEAKER_02,12.352499999999964,0.36192114865465924
SPEAKER_07,8.184375000000436,0.23979748237366064
SPEAKER_01,5.990625000000868,0.17552186854156152
